from_player_name,from_overall_position,from_specific_position
DALILA IPPOLITO,MF,ST
ELIANA STABILE,DF,LB
CELESTE DOS SANTOS,FW,LM
MIRIAM MAYORGA,DF,CB
ROMINA NUNEZ,MF,RM
ALDANA COMETTI,DF,CB
MARIANA LARROQUETTE,FW,ST
SOPHIA BRAUN,DF,RB
JULIETA CRUZ,DF,RB
VANINA PREININGER,MF,CM
LAURINA OLIVEROS,GK,GK
YAMILA RODRIGUEZ,FW,ST
CAMILA GOMEZ ARES,MF,CM
CATALINA ROGGERONE,DF,CM
MARICEL PEREYRA,MF,LM
ESTEFANIA PALOMAR,FW,ST
BANINI ESTEFANIA,FW,CAM
CHIARA SINGARELLA,FW,LM
DAIANA FALFAN,MF,CM
BENITEZ LORENA,MF,CM
BONSEGUNDO FLORENCIA,MF,LM
CORREA VANINA,GK,GK
GRAMAGLIA PAULINA,FW,ST
LONIGRO ERICA,FW,ST
SACHS ADRIANA,DF,CB
CHAVEZ GABRIELA,DF,RB